model_output,target,scores,scores_inserts
izinqokozimbi khodwa izingubozinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1110111111111111111111111111111111'],['[]']
izingqoko zimbikhodwa izingubozinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1110111111111111111111111111111101'],['[]']
izingqokoizimbicodwa izinkubu zinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1111111111111110111111111111111111'],"['[""9"", ""29""]']"
inkhanyezi iyokhanya,Inkanyezi iyokhanya.,"['1101111111111111', '1101111111111111']","['[]', '[]']"
inkhanyezi iyokhanya,Inkanyezi iyokhanya.,['1101111111111111'],['[]']
inkanyezi iyokhanya,Inkanyezi iyokhanya.,"['1101111111111111', '1101111111111111']","['[]', '[]']"
inkanyezi  iyokhanya,Inkanyezi iyokhanya.,"['1111111110111111', '1111111111111111']","['[""9""]', '[""8""]']"
inkanyezi iyokhanya,Inkanyezi iyokhanya.,"['1111111111111111', '1111111111111111']","['[]', '[]']"
inkanyezi iyokhanya,Inkanyezi iyokhanya.,['1111111111111111'],['[]']
inkanyezi iyokhanya,Inkanyezi iyokhanya.,['1111111111111111'],['[]']
inkan yezi iyokhanya,Inkanyezi iyokhanya.,"['1101111111111111', '1101111111111111', '1101111111111111']","['[]', '[""2""]', '[]']"
inkhan yezi iyokhanya,Inkanyezi iyokhanya.,"['1111111111111111', '1101111111111111']","['[]', '[]']"
inkanyezi iyokanya,Inkanyezi iyokhanya.,['1111111111110111'],['[]']
in kan iyezi iyokhana,Inkanyezi iyokhanya.,['1101111111111101'],['[]']
ikangezi ikhonya,Inkanyezi iyokhanya.,['1111111111001011'],['[]']
ngiyalifuna ihashi manje,Ngiyalifuna ihhashi manje.,"['1111111111110111111111', '1111111111111111111111']","['[]', '[]']"
ingiyalifuna ihashi manje,Ngiyalifuna ihhashi manje.,"['1111111111110111111111', '1111111111110111111111']","['[]', '[""0""]']"
ingiya lifuna ihashi manje,Ngiyalifuna ihhashi manje.,"['1111111111111111111111', '1111111111111111111111']","['[]', '[]']"
ngiyalifuna ihhashi manje,Ngiyalifuna ihhashi manje.,"['1111111111111111111111', '1111111111111111111111', '1111111111111111111111']","['[]', '[]', '[]']"
ngiyalifuna ihhashi manje,Ngiyalifuna ihhashi manje.,['1111111111111111111111'],['[]']
ngiyalifuna iyashe manje,Ngiyalifuna ihhashi manje.,['1111111111111111111111'],['[]']
ngiyalifuna eyashi manje,Ngiyalifuna ihhashi manje.,['1111111111111111111111'],['[]']
ingiyalifuna ishilashli manje,Ngiyalifuna ihhashi manje.,"['1111111111110001111111', '1111111111110101111111', '1111111111110101111111']","['[]', '[""0"", ""12"", ""14""]', '[""0""]']"
nikilifuna iyashi manje,Ngiyalifuna ihhashi manje.,['0100111111111111111111'],"['[""0""]']"
ngiyalifuna ihhashi manje,Ngiyalifuna ihhashi manje.,['1111111111110111111111'],['[]']
ngiyalifuna ihasimanje,Ngiyalifuna ihhashi manje.,['1111111111110101111111'],['[]']
ingiya lifuna ihashimanje,Ngiyalifuna ihhashi manje.,['1111111111111111111111'],"['[""0""]']"
um kahlebi abantu,Ungahlebi abantu.,['11101111111111'],['[]']
ungahlebi abantu,Ungahlebi abantu.,['11111111111111'],['[]']
ungahlebi abantu,Ungahlebi abantu.,"['11111111111111', '11111011101111']","['[]', '[]']"
ungahlebi abantu,Ungahlebi abantu.,"['11111111111111', '10111111111111']","['[]', '[]']"
ungahlebi abantu,Ungahlebi abantu.,"['11111111111111', '10111111111111']","['[]', '[]']"
ungahlebi abantu,Ungahlebi abantu.,"['11111111111111', '11111111111111', '11111111111111']","['[]', '[]', '[]']"
ungahl ebi abantu,Ungahlebi abantu.,['11111111111111'],['[]']
ungashlebi abanto,Ungahlebi abantu.,"['11101111111101', '11111111111111']","['[]', '[]']"
ungu hlebi amantu,Ungahlebi abantu.,['11011011101111'],['[]']
ungahlebi abantu,Ungahlebi abantu.,['11111111111111'],['[]']
ungahlebi abantu,Ungahlebi abantu.,['11111011101111'],['[]']
angabhili abanso,Ungahlebi abantu.,['01100001101111'],['[]']
amazinyomakhulu,Amazinyo makhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
amaz ini omakhulu,Amazinyo makhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
amazinyo makhulu,Amazinyo makhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
amazinyo makhulu,Amazinyo makhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
amazinyo makhulu,Amazinyo makhulu.,['11111111111111'],['[]']
amaz inyo makhulu,Amazinyo makhulu.,['11111111111111'],['[]']
amazinyo makhulu,Amazinyo makhulu.,['11111111111111'],['[]']
amazini o makhulo,Amazinyo makhulu.,"['11111011111111', '11111111111111', '11111111111111']","['[]', '[]', '[]']"
amaziyomakhulu,Amazinyo makhulu.,['11111011111111'],['[]']
amazinio makhulu,Amazinyo makhulu.,['11111111111111'],['[]']
amazinyomakhulu,Amazinyo makhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
amaziyo makhulu,Amazinyo makhulu.,['11111011111111'],['[]']
umlungu uya thula,Umlungu uyathula.,['11111111111111'],['[]']
umlungu uyathula,Umlungu uyathula.,"['11111111111111', '11011111111111', '11111111111111']","['[]', '[""2""]', '[]']"
umlungu uyathula,Umlungu uyathula.,['11111111111111'],['[]']
umlungu uyathula,Umlungu uyathula.,"['11111111111111', '11111111111111']","['[]', '[]']"
umlungu uya thula,Umlungu uyathula.,"['11111111111111', '11111111111111', '11111111111111']","['[]', '[]', '[]']"
umlungu yathula,Umlungu uyathula.,['11111111111111'],['[]']
umlungu uya thula,Umlungu uyathula.,['11111111111111'],['[]']
umlungu uyathula,Umlungu uyathula.,"['11111111111111', '11111111111111', '11111111111111']","['[]', '[]', '[]']"
umulungu aya thula,Umlungu uyathula.,['11111110111111'],"['[""2""]']"
umlungu uya thula,Umlungu uyathula.,['11111111111111'],['[]']
umlungu uya thula,Umlungu uyathula.,['11111111111111'],['[]']
umlungu uyathula,Umlungu uyathula.,['11111111111111'],['[]']
imikhumbi iyawajabula amanzi,Imikhumbi iyawadabula amanzi.,"['111111111111111111111111111', '111111111111111101111111111']","['[]', '[]']"
imikhumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,['111111111111111111111111111'],['[]']
imikhumbi iyawadubhula amanzi,Imikhumbi iyawadabula amanzi.,"['111111111111111111111111111', '111111111111111011111111111']","['[]', '[]']"
imikhumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,"['111111111111111111111111111', '111111111111111111111111111']","['[]', '[]']"
imikhumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,['111111111111111111111111111'],['[]']
imikhumbi yabadabula amanzi,Imikhumbi iyawadabula amanzi.,"['111111111111111111111111111', '111111111111111111111111111']","['[]', '[]']"
imikhumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,['111111111111111111111111111'],['[]']
imikhubhi iyawadabhula amanzi,Imikhumbi iyawadabula amanzi.,"['111110011111111111111111111', '111110111111111111111111111']","['[]', '[]']"
imikhombi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,"['111111111111111111111111111', '111111111111111101111111111']","['[]', '[]']"
imikhumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,['111111111111111111111111111'],['[]']
imikhumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,['111111111111111101111111111'],['[]']
imikhubi iwabula amazi,Imikhumbi iyawadabula amanzi.,['111110011111111000111111111'],['[]']
zizombona umlungu,Sizombona umlungu.,['1111001111111111'],['[]']
sizombona umlungu,Sizombona umlungu.,['1111111111111111'],['[]']
sizombona umlungu,Sizombona umlungu.,['1111111111111111'],['[]']
nzombona umlungu,Sizombona umlungu.,"['1111111111111111', '1111111111111111']","['[]', '[]']"
sizombona umlungu,Sizombona umlungu.,"['1111111111111111', '0011111111111111']","['[]', '[]']"
sizombona umlungu,Sizombona umlungu.,"['1111111111111111', '1111111111111111']","['[]', '[]']"
sizombona umlungu,Sizombona umlungu.,['1111111111111111'],['[]']
sizo mbona umlungo,Sizombona umlungu.,"['1111000111111111', '1111111111111111', '1111101111111111']","['[]', '[]', '[]']"
sizombana ulungu,Sizombona umlungu.,"['1111010111111111', '1111110111101111']","['[]', '[]']"
sizo mbona umlungu,Sizombona umlungu.,['1111101111111111'],['[]']
sizo mbona umlungu,Sizombona umlungu.,['1111111111111111'],['[]']
izo bona umlungo,Sizombona umlungu.,['0111001111111111'],['[]']
ngiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[]', '[]']"
ingiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[""0""]', '[""0""]']"
niyalinga,Ngiyalinga.,['01111111'],['[]']
ngiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[]', '[]']"
ngiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[]', '[]']"
ngiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[]', '[]']"
ngiyalinga,Ngiyalinga.,['11111111'],['[]']
ingiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[]', '[""0""]']"
imgiyalinga,Ngiyalinga.,['11111111'],"['[""0""]']"
ngiyalinga,Ngiyalinga.,['11111111'],['[]']
ngiyalinga,Ngiyalinga.,['11111111'],['[]']
ingiyalinga,Ngiyalinga.,['11111111'],"['[""0""]']"
umuntu uzofika nini,Umuntu uzofika nini?,"['1111011111110111111', '1111111111110111111']","['[]', '[]']"
umuntu uzofika nini,Umuntu uzofika nini?,"['1111011111110111111', '1111011111110111111']","['[]', '[]']"
umuntu uzofika nini,Umuntu uzofika nini?,"['1111111111111111111', '1111111111111111111', '1111111111111111111']","['[]', '[]', '[]']"
umuntu uzofika nini,Umuntu uzofika nini?,['1111111111111111111'],['[]']
umuntu uzofika inni,Umuntu uzofika nini?,['1111111111111111111'],['[]']
umuntu uzofika nini,Umuntu uzofika nini?,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
umuntu uzofikanini,Umuntu uzofika nini?,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
umuntu uzofika ninye,Umuntu uzofika nini?,"['1111011111110111111', '1111111111111111111', '1111011111111111111']","['[]', '[]', '[]']"
umuntu uzofika nini,Umuntu uzofika nini?,['1111111111111111111'],['[]']
umuntu uzofika nini,Umuntu uzofika nini?,['1111111111111111111'],['[]']
umuntu uzofika neni,Umuntu uzofika nini?,['1111111111110111111'],['[]']
umuthi uzofika nini,Umuntu uzofika nini?,['1110001111110111111'],['[]']
suka,Suka!,"['1101', '1111', '1101']","['[]', '[]', '[]']"
suka,Suka!,"['1111', '1111']","['[]', '[]']"
suka,Suka!,['1111'],['[]']
luka,Suka!,"['1111', '0111']","['[]', '[]']"
suka,Suka!,"['1111', '1111']","['[]', '[]']"
suka,Suka!,"['1111', '1111', '1111']","['[]', '[]', '[]']"
suka,Suka!,['1111'],['[]']
soka,Suka!,['1111'],['[]']
suka,Suka!,['1101'],['[]']
suka,Suka!,['1111'],['[]']
hluka,Suka!,['1101'],['[]']
suka,Suka!,"['1111', '1111']","['[]', '[]']"
yebo libi impela,"Yebo, libi impela.",['1101111011110111'],['[]']
yebo libi imphela,"Yebo, libi impela.",['1111111111110111'],['[]']
yebo lib impela,"Yebo, libi impela.","['1111111111100111', '1111111111111111', '1101111011110111']","['[]', '[]', '[]']"
yebo libi impela,"Yebo, libi impela.",['1111111111111111'],['[]']
yebo libi impela,"Yebo, libi impela.","['1111111111111111', '1111111111111111', '1111111111111111']","['[]', '[]', '[]']"
yebo libi impela,"Yebo, libi impela.","['1111111111111111', '1111111111111111', '1111111111111111']","['[]', '[]', '[]']"
yebo libi impela,"Yebo, libi impela.",['1111111111111111'],['[]']
yebo libi impile,"Yebo, libi impela.","['1111111111110010', '1101111011110010']","['[]', '[]']"
yebo lib imphila,"Yebo, libi impela.",['1111111111110011'],['[]']
yebo libi mpela,"Yebo, libi impela.",['1101111011111111'],['[]']
yebo libi imphela,"Yebo, libi impela.","['1111111111111111', '1101111011110111']","['[]', '[]']"
yebo libi mphila,"Yebo, libi impela.",['1111111111111011'],"['[""13""]']"
abantu abathule namhlanda,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abathule namhlanjle,Abantu abathule namhlanje.,"['11111111111111111111111', '11111111111111111111111', '10110111111111111111111']","['[]', '[]', '[]']"
abantu abathule namhlanje,Abantu abathule namhlanje.,"['11111111111111111111111', '10111111111111111111111']","['[]', '[]']"
abantu abathule namhlanje,Abantu abathule namhlanje.,"['11111111111111111111111', '11111111111111111111111', '11111111111111111111111']","['[]', '[]', '[]']"
abantu abathule namhlanje,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abathule namhlanji,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abathule namhlanje,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abethule namandla,Abantu abathule namhlanje.,"['11111111111111111100111', '10111111111111111111001']","['[]', '[]']"
abantu abethule namhlanje,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abathule namhlanje,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abathule namhlanje,Abantu abathule namhlanje.,['10110111011111111111111'],['[]']
abantu abathule namanje,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
uyobopha,Uyobopha.,"['1110111', '1110111']","['[]', '[]']"
uyobopha,Uyobopha.,['1110111'],['[]']
uyobhopha,Uyobopha.,['1110111'],['[]']
uyobopha,Uyobopha.,"['1111111', '1111111']","['[]', '[]']"
uyobopha,Uyobopha.,"['1111111', '1111111']","['[]', '[]']"
uyobopha,Uyobopha.,['1111111'],['[]']
uyobopha,Uyobopha.,['1111111'],['[]']
uyoboba,Uyobopha.,"['1110111', '1110111', '1111111']","['[]', '[]', '[]']"
uyapupha,Uyobopha.,['1101111'],['[]']
uyobobha,Uyobopha.,['1110111'],['[]']
uyobopha,Uyobopha.,['1111111'],['[]']
uyobudla,Uyobopha.,['1110000'],['[]']
sisohlala lapha sifunde,"Sizohlala lapha, sifunde.",['111101111111111111111'],['[]']
sizohlala lapha sifunde,"Sizohlala lapha, sifunde.",['111111111111111111111'],['[]']
sizohlala lapha sifunde,"Sizohlala lapha, sifunde.","['111111111111111111111', '111101111111111111111']","['[]', '[]']"
sizohlala lapha sifunde,"Sizohlala lapha, sifunde.",['111111111111111111111'],['[]']
sizohlala lapha sifunde,"Sizohlala lapha, sifunde.","['111111111111111111111', '111111111111111111111', '111111111111111111111']","['[]', '[]', '[]']"
sizohlala lapha sifunde,"Sizohlala lapha, sifunde.","['111111111111111111111', '111111111111111111111']","['[]', '[]']"
sizohlala lapha sifunde,"Sizohlala lapha, sifunde.",['111111111111111111111'],['[]']
sizoshlashla lapha sifunde,"Sizohlala lapha, sifunde.","['111101011111111111111', '111101011111111111111']","['[]', '[]']"
sizohlahla lapha sifunde,"Sizohlala lapha, sifunde.",['111111011111111111111'],['[]']
sizohlala lapha sifunde,"Sizohlala lapha, sifunde.",['111111111111111111111'],['[]']
sizohlala lapha sifunde,"Sizohlala lapha, sifunde.",['111111111111111111111'],['[]']
sizohlala laphe sifunde,"Sizohlala lapha, sifunde.",['111111111111011111111'],['[]']
abentswana balobekhasle khakhulu,Abantwana balobe kahle kakhulu.,['1111011111111111101011011111'],['[]']
abantwana balophe kahlekakulu,Abantwana balobe kahle kakhulu.,"['1111011111111101101111011111', '1111011111111111101111011111']","['[]', '[]']"
abantwana balobile khahlekhakhulu,Abantwana balobe kahle kakhulu.,"['1111111111111100101111011111', '1111111111011101101111011111']","['[]', '[""16""]']"
abantwana balobe kahle kakhulu,Abantwana balobe kahle kakhulu.,"['1111111111111111111111111111', '1111111111111111111111111111', '1111111111111111111111111111']","['[]', '[]', '[]']"
abantwana balobekahle kakhulu,Abantwana balobe kahle kakhulu.,['1111111111111111111111111111'],['[]']
abantwana baloba kahle kakhulu,Abantwana balobe kahle kakhulu.,['0111111111111111111111111111'],['[]']
abantwana balobe kahle kakhulu,Abantwana balobe kahle kakhulu.,['1111111111111111111111111111'],['[]']
abathwana balube pkashle khakhelo,Abantwana balobe kahle kakhulu.,"['1111011111111011111111111111', '1110011111111011101111011111']","['[""13""]', '[]']"
abantwana lakahle kakhulu,Abantwana balobe kahle kakhulu.,['1111111111000000101111011111'],['[]']
abantwana balobe khahle khakhulu,Abantwana balobe kahle kakhulu.,['1111111111111111111111111111'],['[]']
abantwana bahlobekahle kakhulu,Abantwana balobe kahle kakhulu.,['1111111111110111101111011111'],['[]']
abantswana balobe khahlekhakhulu,Abantwana balobe kahle kakhulu.,['1011011111011101101111011111'],['[]']
ukudla kwako mnanti,Ukudla kwakumnandi.,"['10111101101111111', '11111111111111111', '10111101101111111']","['[]', '[""2"", ""7"", ""10""]', '[]']"
ukhudla kwa kumnandi,Ukudla kwakumnandi.,['11111101101111111'],['[]']
ukudla kwamnandi,Ukudla kwakumnandi.,['10111101100111111'],['[]']
ukudla kwakomnandi,Ukudla kwakumnandi.,['11111111111111111'],['[]']
ukudla kwakomnandi,Ukudla kwakumnandi.,"['11111111111111111', '11111111111111111']","['[]', '[]']"
ukudla kwako mnandi,Ukudla kwakumnandi.,"['11111111111111111', '11111111111111111', '11111111111111111']","['[]', '[]', '[]']"
ukudla kwakomnandi,Ukudla kwakumnandi.,['11111111111111111'],['[]']
ukudla kwaku umnande,Ukudla kwakumnandi.,['10111101101111111'],['[]']
ukudla kwakumanmnadia,Ukudla kwakumnandi.,['10111101101111111'],"['[""12""]']"
ukhudla kwakho mnandi,Ukudla kwakumnandi.,['10111101101111111'],['[]']
ukudla kwakho mnandi,Ukudla kwakumnandi.,['11111111111111111'],['[]']
kuhla kwa kuuntandi,Ukudla kwakumnandi.,['00111101101111111'],['[]']
iyathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,"['1111111111101111111111011111', '1111111111101011111111011111']","['[]', '[]']"
siyathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111111111111111011111'],['[]']
siyathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,"['1111111111111111111111111111', '1111111111101110111111011111']","['[]', '[]']"
yathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111111111111111111111'],['[]']
yathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,"['0011111111111111111111111111', '1111111111111111111111111111', '1111111111111111111111111111']","['[]', '[]', '[]']"
siyathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,"['1111111111111111111111111111', '1111111111111111111111111111']","['[]', '[]']"
siyathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111111111111111111111'],['[]']
siyathanda ukushlabalela khakhulo,Siyathanda ukuhlabelela kakhulu.,['1111111111111010111111011111'],['[]']
siyathanda ukubhabhela khakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111101010100111011111'],['[]']
siyathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111101110111111011111'],['[]']
siyathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111101110111111011111'],['[]']
siyathanda kuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111011110111111011111'],['[]']
abazali bakho bayesebenza,Abazali bakho bayasebenza?,"['111111111111111111111111', '111111111111111101111111']","['[]', '[]']"
abazali bakho bayesebenza,Abazali bakho bayasebenza?,"['111111111111111101111111', '111111110111101101101111']","['[]', '[]']"
abazali bakho bayosebenza,Abazali bakho bayasebenza?,['111111110111101111101111'],['[]']
abazali bakho bayasebenza,Abazali bakho bayasebenza? ,"['1111111111111111111111111', '1111111111111111111111111']","['[]', '[]']"
abazali bakho bayasebenza,Abazali bakho bayasebenza?,['111111111111111111111111'],['[]']
abazali bakho bayasebenza,Abazali bakho bayasebenza?,"['111111111111111111111111', '111111111111111111111111', '111111111111111111111111']","['[]', '[]', '[]']"
abazali bakho bayasebenza,Abazali bakho bayasebenza?,['111111111111111111111111'],['[]']
abazali bakho bayasebenza,Abazali bakho bayasebenza?,"['111111111111111111111111', '111111110111101111101111']","['[]', '[]']"
abazili bakho bayebenza,Abazali bakho bayasebenza?,['111101111111111111111111'],"['[""4""]']"
abazali bakho bayasebenza,Abazali bakho bayasebenza?,['111111110111101111101111'],['[]']
abazali bakho bayasabenza,Abazali bakho bayasebenza?,['111111110111101111001111'],['[]']
abazali bakho bayesebenza,Abazali bakho bayasebenza?,['101111110111101111101111'],['[]']
intho imbi,Into imbi.,['110111111'],['[]']
intho imbi,Into imbi.,['110111111'],['[]']
into imbi,Into imbi.,"['111111111', '111111111']","['[]', '[]']"
into imbi,Into imbi.,"['111111111', '111111111']","['[]', '[]']"
into imbi,Into imbi.,['111111111'],['[]']
doimbi,Into imbi.,"['011111111', '011111111']","['[]', '[]']"
into embi,Into imbi.,['111111111'],['[]']
inthoimbe,Into imbi.,"['110111111', '110111111']","['[]', '[]']"
ininso imbi,Into imbi.,['110111111'],"['[""1""]']"
into imbi,Into imbi.,['111111111'],['[]']
ithoimbi,Into imbi.,['110111111'],['[]']
in to imbi,Into imbi.,"['111111111', '110111111']","['[]', '[]']"
uxolo,Uxolo.,"['10111', '10111']","['[]', '[]']"
uxolo,Uxolo.,['11111'],['[]']
uqolo,Uxolo.,"['10111', '10111']","['[]', '[]']"
uxolo,Uxolo.,"['11111', '10111']","['[]', '[]']"
ucolo,Uxolo.,['10111'],['[]']
uxolo,Uxolo.,"['11111', '11111', '11111']","['[]', '[]', '[]']"
uxolo,Uxolo.,['11111'],['[]']
unxozo,Uxolo.,['11101'],['[]']
uxolo,Uxolo.,['10111'],['[]']
uxholo,Uxolo.,"['11111', '11111']","['[]', '[]']"
uxolo,Uxolo.,['11111'],['[]']
uxolo,Uxolo.,['11111'],['[]']
